,sample,site,reef_system,date_collected,PRJ,study,lat_lon,lat,lon,note,collectionDepth,reefType,temperature,methodPrimer,methodExtraction
SRR11914596,M_SW_Bluewater,Offshore,Micronesia,2012-11-02,PRJNA636810,Apprill et al 2021,6.158 N 160.567 E,6.158,160.567,,1,offshore,29.99,806R,santoro2010
SRR11914594,M_SW_KAP2_10m,Kapingamarangi,Micronesia,2012-11-05,PRJNA636810,Apprill et al 2021,1.029 N 154.762 E,1.029,154.762,,10,fore reef,30.03,806R,santoro2010
SRR11914595,M_SW_KAP2_1m,Kapingamarangi,Micronesia,2012-11-05,PRJNA636810,Apprill et al 2021,1.029 N 154.762 E,1.029,154.762,,1,fore reef,31.55,806R,santoro2010
SRR11914593,M_SW_KAP3_12m,Kapingamarangi,Micronesia,2012-11-06,PRJNA636810,Apprill et al 2021,1.035 N 154.766 E,1.035,154.766,,12,lagoon,30.3,806R,santoro2010
SRR11914592,M_SW_KAP5_1m,Kapingamarangi,Micronesia,2012-11-06,PRJNA636810,Apprill et al 2021,1.038 N 154.751 E,1.038,154.751,,1,fore reef,30.6,806R,santoro2010
SRR11914590,M_SW_KAP6_10m,Kapingamarangi,Micronesia,2012-11-07,PRJNA636810,Apprill et al 2021,1.051 N 154.734 E,1.051,154.734,,10,fore reef,30.14,806R,santoro2010
SRR11914591,M_SW_KAP6_1m,Kapingamarangi,Micronesia,2012-11-07,PRJNA636810,Apprill et al 2021,1.051 N 154.734 E,1.051,154.734,,1,fore reef,31.28,806R,santoro2010
SRR11914571,M_SW_KOS1_13m,Kosrae,Micronesia,2012-10-31,PRJNA636810,Apprill et al 2021,5.263 N 162.984 E,5.263,162.984,,13,fringing,29.97,806R,santoro2010
SRR11914599,M_SW_KOS2_1m,Kosrae,Micronesia,2012-10-31,PRJNA636810,Apprill et al 2021,5.259 N 162.990 E,5.259,162.99,,1,fringing,30.09,806R,santoro2010
SRR11914597,M_SW_KOS3_10m,Kosrae,Micronesia,2012-11-01,PRJNA636810,Apprill et al 2021,5.266 N 162.935 E,5.266,162.935,,10,fringing,30,806R,santoro2010
SRR11914598,M_SW_KOS3_1m,Kosrae,Micronesia,2012-11-01,PRJNA636810,Apprill et al 2021,5.266 N 162.935 E,5.266,162.935,,1,fringing,30,806R,santoro2010
SRR11914587,M_SW_NAK1_10m,Nukuoro,Micronesia,2012-11-08,PRJNA636810,Apprill et al 2021,3.821 N 154.936 E,3.821,154.936,,10,fore reef,30.02,806R,santoro2010
SRR11914588,M_SW_NAK1_1m,Nukuoro,Micronesia,2012-11-08,PRJNA636810,Apprill et al 2021,3.821 N 154.936 E,3.821,154.936,,1,fore reef,30.01,806R,santoro2010
SRR11914586,M_SW_NAK2_1m,Nukuoro,Micronesia,2012-11-08,PRJNA636810,Apprill et al 2021,3.821 N 154.920 E,3.821,154.92,,1,fore reef,30.47,806R,santoro2010
SRR11914574,M_SW_OLIM1_6m,Olimareo,Micronesia,2012-10-26,PRJNA636810,Apprill et al 2021,7.682 N 145.860 E,7.682,145.86,,6,fore reef,29.49,806R,santoro2010
SRR11914572,M_SW_OLIM2_10m,Olimareo,Micronesia,2012-10-26,PRJNA636810,Apprill et al 2021,7.681 N 145.850 E,7.681,145.85,,10,fore reef,29.29,806R,santoro2010
SRR11914573,M_SW_OLIM2_1m,Olimareo,Micronesia,2012-10-26,PRJNA636810,Apprill et al 2021,7.681 N 145.850 E,7.681,145.85,,1,fore reef,30.01,806R,santoro2010
SRR11914585,M_SW_POH1_1m,Pohnpei,Micronesia,2012-11-10,PRJNA636810,Apprill et al 2021,6.863 N 158.107 E,6.863,158.107,,1,fringing,29.78,806R,santoro2010
SRR11914583,M_SW_POH2_10m,Pohnpei,Micronesia,2012-11-10,PRJNA636810,Apprill et al 2021,6.905 N 158.090 E,6.905,158.09,,10,fringing,,806R,santoro2010
SRR11914584,M_SW_POH2_1m,Pohnpei,Micronesia,2012-11-10,PRJNA636810,Apprill et al 2021,6.905 N 158.090 E,6.905,158.09,,1,fringing,30.02,806R,santoro2010
SRR11914589,M_SW_WOLE1_10m,Woleai,Micronesia,2012-10-24,PRJNA636810,Apprill et al 2021,7.339 N 143.830 E,7.339,143.83,,10,fore reef,29.35,806R,santoro2010
SRR11914600,M_SW_WOLE1_1m,Woleai,Micronesia,2012-10-24,PRJNA636810,Apprill et al 2021,7.339 N 143.830 E,7.339,143.83,,1,fore reef,29.4,806R,santoro2010
SRR11914578,M_SW_WOLE2_1m,Woleai,Micronesia,2012-10-24,PRJNA636810,Apprill et al 2021,7.330 N 143.840 E,7.33,143.84,,1,lagoon,29.99,806R,santoro2010
SRR11914576,M_SW_WOLE3_1m,Woleai,Micronesia,2012-10-25,PRJNA636810,Apprill et al 2021,7.334 N 143.872 E,7.334,143.872,,1,fore reef,29.58,806R,santoro2010
SRR11914575,M_SW_WOLE3_6m,Woleai,Micronesia,2012-10-25,PRJNA636810,Apprill et al 2021,7.334 N 143.872 E,7.334,143.872,,6,fore reef,29.1,806R,santoro2010
SRR11914601,M_SW_YAP1_1m,Yap,Micronesia,2012-10-21,PRJNA636810,Apprill et al 2021,9.507 N 138.175 E,9.507,138.175,,1,fore reef,,806R,santoro2010
