"reads.in"	"reads.out"	"derepF"	"derepR"	"merged"	"nochim"
"SRR6380034"	40042	29161	28613	28292	26084	25997
"SRR11914597"	38986	35509	34897	34853	33490	33490
"SRR6380038"	45606	33178	33079	33082	32621	32614
"376"	51930	34939	34223	34152	32989	32989
"SRR10392994"	133326	116710	115829	115648	110827	109850
"SRR6380077"	100057	76164	75687	75631	74224	73817
"327"	77080	51904	51162	50996	49294	49173
"392"	56284	37469	36979	36917	35387	35201
"374"	59272	38951	38393	38253	37160	37156
"SRR11914576"	28331	25262	24834	24829	23904	23901
"255"	53035	34289	33588	33527	32551	32480
"SRR6380071"	34282	25433	25398	25297	25158	23623
"SRR10393024"	66662	58026	57071	57006	54650	54521
"5"	66521	44341	43643	43626	41875	41677
"SRR6380085"	69614	47735	47570	47589	46883	45525
"204"	64288	43491	42776	42717	41470	41470
"SRR6380036"	59861	42482	42266	42115	41168	40761
"SRR1993011"	49763	41977	39862	39265	36450	36382
"383"	68286	47443	46805	46769	45219	45020
"SRR11914600"	23747	21249	20977	20875	20071	20071
"SRR10393043"	36189	31819	31275	31193	29747	29747
"SRR6380076"	53781	38377	38135	38053	37341	37182
"SRR10393032"	54855	47803	47043	46790	45037	44976
"SRR6380061"	133701	89393	89160	88889	87621	86123
"SRR11914583"	31953	26509	26061	26072	24705	24702
"SRR1993024"	13508	11916	11722	11690	11275	11254
"SRR10393016"	75453	64714	63815	63712	61998	61996
"71"	66698	44031	43639	43536	42514	42514
"SRR10393051"	106713	95610	94927	94473	90868	90252
"SRR6380043"	46626	33422	33179	33202	32624	32437
"7"	68807	45258	44630	44483	43226	43226
"251"	53614	35369	34660	34528	33792	33792
"SRR10393028"	71811	61623	60492	60291	57647	57575
"330"	65557	43308	42333	42221	41532	41351
"SRR1993000"	47657	41357	40690	40682	39218	38964
"SRR10393035"	89629	79397	78709	78266	74721	74273
"163"	55386	36201	35675	35545	34172	34172
"SRR1993003"	93582	82471	80720	80206	77592	76946
"SRR6380063"	84900	59701	59501	59459	58407	58009
"SRR6380074"	42538	30630	30330	30391	29626	29188
"SRR6380100"	59144	41383	40683	40350	37988	37560
"212"	65680	43075	42470	42344	40981	40981
"SRR6380037"	36587	26739	26611	26533	26065	26014
"199"	48163	32029	31402	31356	30390	30390
"SRR6380089"	61221	43702	42960	42579	39975	39071
"SRR6380087"	12278	8346	8288	8278	8233	8217
"332"	46600	29769	28929	28803	28215	28178
"SRR6380045"	33919	23799	23373	23032	21764	21711
"341"	71098	48563	47256	47112	45728	45659
"SRR1993018"	39046	35238	34544	34531	33033	32881
"SRR10393009"	79787	69649	69024	68610	65509	65312
"SRR6380099"	96349	70477	69687	69191	65063	63705
"SRR1993026"	34729	30270	29983	29875	28860	28858
"131"	56650	37845	37105	37028	35593	35433
"SRR6380025"	36714	26086	25976	25919	25379	25227
"325"	75329	51252	50577	50439	48857	48691
"256"	46491	28837	28006	27815	26728	26610
"SRR10392996"	83263	73670	72808	72634	69855	69397
"SRR6380083"	40951	29602	28991	28853	26874	26267
"SRR10393031"	69949	58570	57387	57226	54910	54910
"169"	64987	42423	41763	41798	40279	40279
"SRR10392997"	114890	95189	93352	93253	89976	89817
"SRR1993016"	69680	61013	60301	60115	58768	58308
"SRR11914587"	52336	46471	45954	46044	44723	43826
"SRR6380047"	53005	38118	37521	37238	35519	35357
"SRR10392995"	86096	77048	75914	75754	72728	72644
"SRR11914599"	72194	59837	59131	58879	56469	56336
"SRR10393015"	77128	67414	66565	66350	63403	63232
"SRR6380060"	32793	25181	25076	25033	24763	24295
"164"	65228	43376	42596	42506	40986	40852
"SRR11914571"	43726	39136	38450	38478	36708	36675
"10"	45715	28715	28365	28241	27173	27070
"SRR6380103"	37378	25799	25669	25658	25451	25414
"301b"	51859	33784	32870	32861	31372	31372
"SRR1993022"	24491	21739	21524	21303	20452	20452
"SRR10393044"	43329	37540	36574	36537	35263	35263
"SRR11914585"	14513	13102	12811	12765	11978	11976
"SRR11914591"	22356	20048	18950	18884	17469	17466
"SRR6380073"	38632	28142	28012	27914	27130	27032
"SRR6380070"	44725	31773	31753	31664	31282	31021
"SRR6380032"	42330	29487	29356	29335	28939	28939
"SRR1993004"	77736	68070	66689	66304	64009	63387
"SRR11914586"	28361	25685	24878	24682	23431	23431
"SRR6380062"	96336	67543	67296	67321	66235	65566
"SRR11914590"	69672	61335	60713	60738	58677	58514
"SRR11914588"	66072	59056	58418	58386	56699	56579
"373"	71497	47907	47129	47134	45691	45691
"SRR6380058"	36740	26786	26682	26581	25989	25869
"SRR6380056"	16394	11376	11338	11324	11279	11257
"352"	69351	46189	44993	44874	43325	43268
"SRR6380029"	41196	29657	29561	29441	28857	28853
"11"	64156	43091	42329	42465	41147	41147
"SRR10392986"	67364	58726	57600	57477	55660	55635
"SRR10393023"	76695	68798	67781	67769	65475	65358
"305"	66951	44625	43674	43540	41961	41958
"SRR1993006"	67311	58137	57091	56794	55513	55430
"SRR6380088"	24093	17311	17230	17162	16931	16520
"SRR10393004"	78754	68609	67371	67401	64435	64160
"SRR1993021"	52336	46471	45954	46044	44723	43826
"301"	58083	39166	38280	38090	36739	36623
"9"	45035	30441	29886	29851	28677	28533
"SRR6380104"	45138	31546	31503	31411	31187	31183
"SRR6380059"	34772	24041	24001	23959	23799	23799
"SRR1992997"	48314	41643	40763	40110	38249	38187
"SRR6380049"	41751	28541	28031	27753	26150	26048
"SRR6380065"	33988	23913	23711	23766	23213	23090
"SRR6380042"	41236	30068	29855	29723	28864	28817
"97"	74249	51118	50299	50216	48457	48158
"SRR11914592"	7686	6795	6632	6597	6196	6196
"87"	65393	45846	45228	45334	43777	43565
"SRR11914595"	34312	30865	28756	28633	25637	25637
"SRR1993020"	43726	39136	38450	38478	36708	36675
"SRR10393013"	78255	67191	66149	66120	63385	63301
"SRR10393007"	78919	69808	68993	68996	66225	65865
"SRR6380044"	36103	27057	26930	26762	25972	25530
"SRR6380026"	36232	26486	26451	26435	26169	26109
"SRR6380094"	40071	28998	28824	28705	28142	28093
"29"	59392	39189	38733	38714	37366	37366
"SRR10393022"	78642	69158	68413	68007	65633	65487
"SRR6380040"	45315	30638	30555	30592	30246	29982
"292"	40259	24689	24024	23982	22911	22911
"SRR6380096"	14236	9420	9399	9377	9305	9256
"SRR6380027"	50920	35656	35349	35145	33812	33004
"SRR11914589"	13508	11916	11722	11690	11275	11254
"SRR10393001"	70670	61089	60235	60117	57606	57503
"SRR1993009"	75603	65259	64304	63906	62334	62136
"102"	72865	49248	48303	48194	46137	45836
"SRR11914578"	46121	41206	40512	40387	39055	39048
"SRR6380080"	91928	67076	66238	65659	62946	61307
"SRR11914574"	6326	5698	5558	5554	5228	5226
"SRR6380079"	72958	52632	52151	51902	50508	50247
"SRR6380098"	42958	30269	30039	29889	29117	28881
"SRR1993008"	75792	66178	64995	64779	63021	62730
"SRR6380066"	32890	23651	23478	23403	22609	21903
"SRR10393030"	72549	62361	61404	61199	58573	58333
"SRR11914596"	39720	36043	35670	35709	34484	34361
"SRR11914575"	30082	26379	25972	25980	25158	25158
"SRR6380082"	56697	40960	40765	40696	40254	39823
"SRR1993023"	25848	22642	22352	22274	21122	21120
"SRR1993025"	46121	41206	40512	40387	39055	39048
"29b"	57207	36862	36387	36307	35113	35113
"SRR6380078"	49025	34845	34257	33992	32311	31835
"SRR6380101"	47123	33077	32962	32864	32436	30851
"SRR1993012"	51316	43432	41105	40402	38066	37941
"SRR6380050"	41544	30742	30617	30506	29995	29624
"SRR6380075"	253743	174668	173215	172775	167702	164771
"SRR6380067"	41952	28951	28781	28699	27864	27208
"SRR10393000"	78239	67159	66118	65921	63754	63754
"SRR10392992"	64628	55708	54212	54052	51434	51434
"92"	66312	44933	44418	44433	42743	42500
"SRR6380028"	42392	29086	28944	28942	28610	27335
"353"	58577	38851	37933	37919	36715	36644
"SRR1993010"	73725	63539	62422	62226	60692	60530
"SRR1992998"	48746	42107	41237	40748	39337	39335
"SRR1993019"	30453	24643	24216	24238	23566	23549
"72"	58075	38605	38167	38084	36976	36834
"130b"	54431	35805	35281	35206	33717	33547
"367"	66916	45291	44205	44063	42916	42855
"213"	50168	32303	31748	31726	30694	30694
"SRR1993017"	47738	44063	43576	43476	42392	42303
"SRR11914573"	29125	26760	25744	25759	24074	24070
"SRR11914598"	25383	23067	22698	22591	21670	21670
"252"	59227	38280	37408	37352	36196	35999
"SRR6380097"	49132	34482	34279	34294	33457	32356
"SRR10393017"	77585	68259	67008	66816	64456	64310
"70"	60436	40667	40160	40152	38806	38649
"73"	48484	32587	32142	32074	30992	30992
"377"	44983	29013	28410	28268	27259	27259
"389"	55208	35935	35373	35253	33689	33683
"SRR6380084"	41987	27836	27756	27669	27463	27463
"SRR1993015"	92713	81696	80601	80262	78568	78150
"SRR1993014"	76223	65821	64399	63996	61960	61732
"SRR6380053"	54984	40518	40075	39699	37876	37291
"SRR11914601"	34729	30270	29983	29875	28860	28858
"SRR1992999"	40211	34545	33237	33044	31592	31582
"96"	73419	48964	48474	48338	46661	46408
"SRR10393042"	74041	63467	62763	62787	60373	60250
"SRR6380033"	43199	30277	30045	30013	29151	29062
"SRR6380086"	33607	24234	23845	23636	22671	22637
"86"	46732	31117	30814	30642	29425	29235
"SRR6380055"	23437	16110	16062	16041	15917	15644
"130"	65508	43975	43241	43271	41591	41427
"170"	62796	41475	40773	40617	39487	39382
"SRR6380041"	38875	26484	26094	25912	24471	24355
"SRR10393034"	63456	54849	53914	53866	51672	51508
"SRR6380068"	40153	27864	27331	27234	25850	25773
"SRR10393047"	80980	70746	69601	69463	67099	66981
"SRR1993005"	56712	48734	47567	47125	45264	44956
"SRR11914593"	30453	24643	24216	24238	23566	23549
"SRR6380092"	85088	61093	60885	60722	59997	59490
"SRR6380091"	30725	21768	21718	21682	21559	21559
"142"	74986	50023	49340	49194	47276	47050
"SRR6380035"	37229	26145	25716	25245	23999	23893
"SRR6380031"	69112	48478	47950	47783	45967	45444
"SRR6380046"	43557	31345	31238	31250	30959	30850
"SRR10393012"	73838	64297	63286	63050	60520	60431
"SRR6380064"	33889	24853	24655	24705	24178	23891
"SRR6380069"	34553	22957	22827	22719	22408	22358
"302"	66653	42714	41886	41795	40146	40146
"SRR6380093"	24702	17567	17462	17313	16861	16664
"SRR6380048"	57960	40718	40022	39545	37763	37496
"SRR1993002"	77566	67227	65736	64983	62288	61542
"SRR6380095"	47751	32969	32823	32739	32172	32129
"SRR6380102"	40956	28917	28793	28698	28293	27841
"SRR6380057"	33843	25463	25387	25238	24843	24262
"SRR1993007"	77868	67451	66321	66005	64391	64083
"SRR6380030"	35177	24730	24547	24382	23462	23132
"SRR6380090"	53029	38155	37532	37353	34679	33916
"SRR6380051"	42139	30169	29947	29937	29140	29080
"SRR6380072"	46190	33230	32938	32691	31657	31061
"SRR6380052"	41422	29973	29891	29763	29475	29206
"385"	75010	50544	49822	49841	47610	47362
"SRR10393046"	70220	61680	60911	60874	58195	57997
"140"	74650	51586	50773	50650	48826	48621
"SRR6380081"	103203	69412	69102	68805	67914	67341
"SRR1993013"	68021	57564	52598	51450	46199	45994
"SRR6380054"	75896	53731	53170	52787	50765	49869
"SRR1993001"	75553	65317	63717	63142	60932	60607
"SRR11914584"	33390	29509	29070	28917	28179	28093
"8"	67545	45358	44803	44742	43292	43064
"6"	60081	40772	40271	40298	38906	38684
"SRR11914572"	25848	22642	22352	22274	21122	21120
"SRR6380039"	37419	25380	25154	25025	24321	24284
"SRR11914594"	39046	35238	34544	34531	33033	32881
"SRR10393050"	98677	86895	85813	85608	82584	82407
