,sample,Run,site,reef_system,transect,distance,coral,sand,Sample_or_Control,depth,substrate_desc,substrate class,DAPI,pcr_group,lat,lon
FLA_12_Run1,FLA_12,Run1,FLA_015,FLA,1,3,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_15_Run2,FLA_15,Run2,FLA_015,FLA,3,8,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_263_Run2,FLA_263,Run2,FLA_049,FLA,3,7,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_264_Run1,FLA_264,Run1,FLA_049,FLA,3,10,no,yes,Sample,NA,algae and sand,,NA,,25.11012,-80.30382
FLA_267_Run1,FLA_267,Run1,FLA_049,FLA,1,4,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_267_Run2,FLA_267,Run2,FLA_049,FLA,1,4,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_268_Run1,FLA_268,Run1,FLA_049,FLA,1,10,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_269_Run1,FLA_269,Run1,FLA_049,FLA,2,10,yes,no,Sample,NA,coral,,NA,,25.11012,-80.30382
FLA_272_Run1,FLA_272,Run1,FLA_049,FLA,2,4,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_273_Run1,FLA_273,Run1,FLA_049,FLA,3,2,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_274_Run2,FLA_274,Run2,FLA_049,FLA,3,1,yes,no,Sample,NA,spong and soft coral,,NA,,25.11012,-80.30382
FLA_275_Run2,FLA_275,Run2,FLA_049,FLA,2,7,yes,no,Sample,NA,soft coral,,NA,,25.11012,-80.30382
FLA_278_Run2,FLA_278,Run2,FLA_049,FLA,1,7,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_279_Run1,FLA_279,Run1,FLA_049,FLA,2,8,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_279_Run2,FLA_279,Run2,FLA_049,FLA,2,8,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_280_Run1,FLA_280,Run1,FLA_049,FLA,2,3,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_281_Run1,FLA_281,Run1,FLA_049,FLA,1,9,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_282_Run1,FLA_282,Run1,FLA_049,FLA,3,9,no,yes,Sample,NA,algae and sand,,NA,,25.11012,-80.30382
FLA_283_Run2,FLA_283,Run2,FLA_049,FLA,2,2,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_284_Run2,FLA_284,Run2,FLA_049,FLA,3,5,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_284-N715_Run2,FLA_284-N715,Run2,FLA_049,FLA,3,5,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_285_Run1,FLA_285,Run1,FLA_049,FLA,1,2,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_286_Run2,FLA_286,Run2,FLA_049,FLA,2,6,yes,no,Sample,NA,soft coral,,NA,,25.11012,-80.30382
FLA_287_Run2,FLA_287,Run2,FLA_049,FLA,1,3,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_289_Run1,FLA_289,Run1,FLA_049,FLA,2,9,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_290_Run2,FLA_290,Run2,FLA_049,FLA,2,5,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_291_Run2,FLA_291,Run2,FLA_049,FLA,3,4,yes,no,Sample,NA,stephanocoenia,,NA,,25.11012,-80.30382
FLA_293_Run1,FLA_293,Run1,FLA_049,FLA,3,6,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_293_Run2,FLA_293,Run2,FLA_049,FLA,3,6,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382
FLA_294_Run1,FLA_294,Run1,FLA_049,FLA,1,1,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_295_Run1,FLA_295,Run1,FLA_049,FLA,2,1,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_296_Run2,FLA_296,Run2,FLA_049,FLA,3,3,,,Sample,NA,,,NA,,25.11012,-80.30382
FLA_297_Run1,FLA_297,Run1,FLA_049,FLA,3,8,no,no,Sample,NA,algae,,NA,,25.11012,-80.30382
