"","raw","filtered","denoised","nochim"
"FLA_43_Run1",185507,175677,174064,171841
"FLA_61_Run1",192530,180265,179479,178034
"FLA_59_Run1",147731,140034,139305,137968
"FLA_47_Run1",126223,119531,118822,117715
"FLA_41_Run1",187518,173550,172540,170201
"FLA_350_Run1",101320,95232,93992,92867
"FLA_298_Run1",71439,66565,65984,65668
"FLA_281_Run1",130902,124560,123467,122318
"FLA_neg-filt-9-5_Run1",790,633,577,577
"FLA_264_Run1",144950,138263,137309,134439
"FLA_45_Run1",147114,138047,137406,136017
"FLA_348_Run1",95941,90768,89499,87829
"FLA_12_Run1",205911,193146,192470,189973
"FLA_297_Run1",117075,109832,109054,108375
"FLA_52_Run1",171651,161611,160720,158716
"FLA_293_Run1",132369,124665,123530,122556
"FLA_285_Run1",131631,124071,123350,122314
"FLA_58_Run1",170138,159521,158176,155648
"FLA_48_Run1",180195,170171,169463,167740
"FLA_56_Run1",142449,134667,134007,132549
"FLA_269_Run1",98775,93466,92705,92044
"FLA_347_Run1",92919,86748,85834,85309
"FLA_54_Run1",87118,81843,81229,80268
"FLA_273_Run1",111480,105051,104128,103342
"FLA_neg-filt-9-11_Run1",9218,1308,1239,1239
"FLA_42_Run1",169940,159590,158677,156893
"FLA_344_Run1",325,229,200,200
"FLA_294_Run1",128309,120989,120031,119089
"FLA_295_Run1",95479,90315,89618,88984
"FLA_351_Run1",104541,98521,97587,96998
"FLA_272_Run1",120268,114067,112956,111927
"FLA_345_Run1",2062,230,192,192
"FLA_279_Run1",125084,118180,117412,116556
"FLA_pos-mock_Run1",136507,129493,129159,123788
"FLA_49_Run1",57808,54300,53823,53498
"FLA_Undetermined_Run1",1672280,509364,506240,500152
"FLA_282_Run1",92535,88115,87510,86229
"FLA_60_Run1",72725,68621,68079,67296
"FLA_268_Run1",110779,103984,103395,100169
"FLA_289_Run1",142736,134773,133909,132715
"FLA_280_Run1",135563,127545,126720,124740
"FLA_53_Run1",152393,142063,141356,138989
"FLA_267_Run1",188876,178651,177564,176464
"FLA_15_Run2",193782,181873,181015,178410
"FLA_343_Run2",80922,75252,74236,73706
"FLA_290_Run2",65109,61230,60601,60193
"FLA_346_Run2",52950,49168,47980,47728
"FLA_48_Run2",119441,112400,111672,110696
"FLA_287_Run2",52608,49632,49159,48995
"FLA_50_Run2",91701,85951,85269,84438
"FLA_284_Run2",35214,32556,32089,31964
"FLA_64_Run2",102569,97180,96422,95353
"FLA_278_Run2",62088,59211,58706,58516
"FLA_45_Run2",97797,91639,91188,90230
"FLA_299-N715_Run2",75017,70115,69450,68911
"FLA_300_Run2",59938,56847,56368,56246
"FLA_54-N715_Run2",44228,40010,39670,39251
"FLA_349_Run2",68162,64125,63323,62938
"FLA_39_Run2",155125,145441,144598,142926
"FLA_67_Run2",90046,84281,83755,82775
"FLA_62_Run2",92925,85904,85292,84547
"FLA_348_Run2",63311,59747,58806,57849
"FLA_neg-filt-911_Run2",271313,251516,250829,248253
"FLA_291_Run2",79737,74690,74010,73428
"FLA_344_Run2",134233,125706,124003,122942
"FLA_274_Run2",79674,75494,74539,73436
"FLA_neg-filt-95_Run2",14104,8721,8688,8688
"FLA_PCR2-N715_Run2",292982,6680,6604,6604
"FLA_neg-blank-95_Run2",7030,397,365,365
"FLA_263_Run2",82040,77519,76791,76325
"FLA_51_Run2",86562,82321,81845,81246
"FLA_284-N715_Run2",48264,44233,43716,43440
"FLA_pos-mock_Run2",87019,82533,81908,80352
"FLA_40_Run2",126902,117402,117116,115852
"FLA_60_Run2",478,385,347,347
"FLA_286_Run2",90416,86188,85188,84517
"FLA_279_Run2",82390,77786,77078,76655
"FLA_57_Run2",78989,73861,73390,72593
"FLA_neg-blank-911_Run2",11343,603,534,534
"FLA_55_Run2",72597,68759,68176,67362
"FLA_293_Run2",89117,83322,82553,81922
"FLA_296_Run2",88957,84415,83618,83103
"FLA_275_Run2",82786,77600,76840,76424
"FLA_46_Run2",55277,52102,51583,51236
"FLA_Undetermined_Run2",1525012,273413,271171,268032
"FLA_65-N715_Run2",56948,52948,52578,51913
"FLA_38_Run2",164293,154096,153465,151405
"FLA_PCR1-N715_Run2",194212,3904,3866,3866
"FLA_342_Run2",63946,60098,59200,58742
"FLA_299_Run2",63066,59487,58775,58526
"FLA_283_Run2",66326,62480,61883,61477
"FLA_351_Run2",67523,63510,62827,62642
"FLA_65_Run2",23149,20433,20215,20111
"FLA_267_Run2",126873,119848,118979,118488
"FLA_44_Run2",92420,87416,86965,86089
"STT_61_Run3",74105,70512,70029,69477
"STT_74_Run3",88582,81323,80804,80079
"STT_77_Run3",114808,105944,105248,104391
"STT_60_Run3",87626,82028,81607,81043
"STT_78_Run3",112183,102615,102117,101263
"STT_70_Run3",102174,91988,91494,90463
"STT_63_Run3",90311,81799,81380,80840
"STT_27_Run3",98090,78310,77730,76854
"STT_75_Run3",93197,86720,86183,85156
"STT_82_Run3",104726,96392,95555,94295
"STT_62_Run3",114303,106273,105491,104115
"STT_28_Run3",100210,73183,72572,71428
"STT_86_Run3",93761,85125,84762,83895
"STT_64_Run3",70022,65864,65290,64425
"STT_43_Run3",130615,108531,107802,106555
"STT_22_Run3",118195,86697,86039,84698
"STT_25_Run3",79179,62421,61800,61011
"STT_40_Run3",113179,83829,83392,82798
"STT_54_Run3",74085,68844,68220,67547
"STT_51_Run3",74250,68710,68268,67472
"STT_3_Run3",147334,89246,88797,87945
"STT_32_Run3",140014,104121,103502,102211
"STT_9_Run3",66829,48914,48481,48140
"STT_58_Run3",78411,73164,70908,69129
"STT_88_Run3",87243,83121,82564,81830
"STT_87_Run3",86035,77368,76920,76222
"STT_45_Run3",87252,83993,81919,80739
"STT_20_Run3",89651,62095,61718,60957
"STT_57_Run3",67113,61661,61220,60842
"STT_49_Run3",70586,65927,65507,64983
"STT_84_Run3",97255,90227,89749,88913
"STT_36_Run3",224233,141074,140607,138747
"STT_10_Run3",63914,50859,50410,50113
"STT_81_Run3",91909,85576,84779,83867
"STT_Undetermined_Run3",1300374,450486,447608,438342
"STT_59_Run3",661,455,418,418
"STT_38_Run3",133991,103835,103220,102224
"STT_106_Run3",500467,40315,40232,38513
"STT_30_Run3",100028,75906,75285,74541
"STT_8_Run3",85520,70870,70376,69544
"STT_50_Run3",93839,87206,86703,85164
"STT_80_Run3",84685,78424,77824,76708
"STT_2_Run3",134456,69701,69205,68785
